0	1	1.5
2	1	1.5
2	3	1.5
4	3	1.5
4	5	1.5
6	5	1.5
6	7	1.5
8	7	1.5
8	9	1.5
10	9	1.5
10	11	1.5
12	11	1.5
12	13	1.5
14	13	1.5
14	15	1.5
16	15	1.5
16	17	1.5
18	17	1.5
18	19	1.5

20	21	1.5
22	21	1.5
22	23	1.5
24	23	1.5
24	25	1.5
26	25	1.5
26	27	1.5
28	27	1.5
28	29	1.5
30	29	1.5
30	31	1.5
32	31	1.5
32	33	1.5
34	33	1.5
34	35	1.5
36	35	1.5
36	37	1.5
38	37	1.5
38	39	1.5
40	39	1.5
40	41	1.5
42	41	1.5
42	43	1.5

45	44	1.5
45	46	1.5
47	46	1.5
47	48	1.5
49	48	1.5
49	50	1.5
51	50	1.5
51	52	1.5
53	52	1.5
53	54	1.5
55	54	1.5
55	56	1.5
57	56	1.5
57	58	1.5
59	58	1.5
59	60	1.5
61	60	1.5
61	62	1.5
63	62	1.5
63	64	1.5

65	66	1.5
67	66	1.5
67	68	1.5
69	68	1.5
69	70	1.5
71	70	1.5
71	72	1.5
73	72	1.5
73	74	1.5
75	74	1.5
75	76	1.5
77	76	1.5
77	78	1.5
79	78	1.5
79	80	1.5
81	80	1.5
81	82	1.5
83	82	1.5
83	84	1.5
85	84	1.5
85	86	1.5
87	86	1.5
87	88	1.5

90	89	1.5
90	91	1.5
92	91	1.5
92	93	1.5
94	93	1.5
94	95	1.5
96	95	1.5
96	97	1.5
98	97	1.5
98	99	1.5
100	99	1.5
100	101	1.5
102	101	1.5
102	103	1.5
104	103	1.5

105	106	3
107	106	3
107	108	3
109	108	3
109	110	3
111	110	3
111	112	3
113	112	3
113	114	3
113	115	3
115	116	3
117	116	3
117	118	3
119	118	3
119	120	3
121	120	3
121	122	3
122	123	3
122	124	3
125	124	3
125	105	3
126	105	3
127	105	3
127	128	3
129	128	3
124	130	3
131	130	3
131	132	3
133	132	3
107	134	3
135	134	3
109	136	3
137	136	3
137	138	3
139	138	3
107	140	3
141	140	3
141	142	3
143	142	3
143	144	3
145	144	3
145	146	3
114	147	3
148	147	3
148	149	3
114	150	3
151	150	3
151	152	3
151	153	3
115	154	3
115	155	3
156	155	3

114	43	1.75
124	0	1.75
7	28	1.75
30	49	1.75
30	123	1.75
123	49	1.75
18	38	1.75
155	38	1.75
18	155	1.75
13	56	1.75
13	110	1.75
110	56	1.75
14	76	1.75
54	75	1.75
11	74	1.75
78	92	1.75
78	111	1.75
111	92	1.75
90	15	1.75
107	72	1.75
105	26	1.75
113	41	1.75
44	120	1.75
19	115	1.75
88	151	1.75
64	140	1.75
98	143	1.75
103	146	1.75
